Dataset ID,Collection,Dataset Name,Languages,Text Sources,Model Generated,Derived from Datasets,License Use (DataProvenance),License Use (GitHub),Licenses,GitHub License,Dataset URL,GitHub URL,ArXiv URL
fc-flan-trec,Flan Collection (Flan 2021),trec,['English'],[],[],[],commercial,,"[{'License': 'CC0 1.0', 'License URL': 'https://www.kaggle.com/datasets/thedevastator/the-trec-question-classification-dataset-a-longi'}]",,https://cogcomp.seas.upenn.edu/Data/QA/QC/,,
fc-flan-true_case,Flan Collection (Flan 2021),true_case,['English'],[],[],[],commercial,,"[{'License': 'CC0 1.0', 'License URL': 'https://creativecommons.org/share-your-work/public-domain/cc0/'}]",,https://www.paracrawl.eu/,,
fc-flan-wiki_lingua_english_en,Flan Collection (Flan 2021),wiki_lingua_english_en,['English'],['wikihow.com'],[],[],commercial,,"[{'License': 'CC BY 3.0', 'License URL': 'https://creativecommons.org/licenses/by/3.0/'}]",,https://gem-benchmark.com/data_cards/wiki_lingua,,https://arxiv.org/abs/2010.03093
fc-flan-winogrande,Flan Collection (Flan 2021),winogrande,['English'],['crowdsourced'],[],[],commercial,commercial,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/allenai/winogrande'}]",Apache License 2.0,https://github.com/allenai/winogrande,https://github.com/allenai/winogrande,https://arxiv.org/abs/1907.10641
fc-flan-wnli,Flan Collection (Flan 2021),wnli,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0/'}]",,https://cs.nyu.edu/~davise/papers/WinogradSchemas/WS.html,,
fc-flan-word_segment,Flan Collection (Flan 2021),word_segment,['English'],[],[],[],commercial,,"[{'License': 'CC0 1.0', 'License URL': 'https://creativecommons.org/share-your-work/public-domain/cc0/'}]",,https://www.paracrawl.eu/,,
fc-flan-wsc,Flan Collection (Flan 2021),wsc,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://cs.nyu.edu/~davise/papers/WinogradSchemas/WS.html'}]",,https://cs.nyu.edu/~davise/papers/WinogradSchemas/WS.html,,
oig-unified_grade_school_math_instructions,OIG,oig-grade_school_math_instructions,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'MIT License', 'License URL': 'https://huggingface.co/datasets/gsm8k#licensing-information'}]",,https://github.com/openai/grade-school-math,,https://arxiv.org/abs/2110.14168
oig-unified_sqlv2,OIG,oig-sqlv2,['English'],[],[],"['SPIDER', 'SPARC', 'COSQL']",commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/spider'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/sparc'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/cosql'}]",,Unspecified,,
oig-unified_nq,OIG,oig-nq,['English'],[],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY-SA 3.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/3.0/'}]",,https://ai.google.com/research/NaturalQuestions/download,,
oig-unified_sqlv1,OIG,oig-sqlv1,['English'],[],[],"['SPIDER', 'SPARC', 'COSQL']",commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/spider'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/sparc'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://yale-lily.github.io/cosql'}]",,https://huggingface.co/datasets/laion/OIG,,
oig-unified_canadian_parliament,OIG,oig-canadian_parliament,['English'],[],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}]",,https://openparliament.ca/data-download/,,
oig-unified_cuad,OIG,oig-cuad,['English'],['sec.gov/edgar/about'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0/'}]",,https://www.atticusprojectai.org/cuad,,https://arxiv.org/abs/2103.06268
oig-unified_squad_v2_more_neg,OIG,oig-squad_v2_more_neg,['English'],['crowdsourced (daemo)'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/4.0/legalcode'}]",,https://rajpurkar.github.io/SQuAD-explorer/,,https://arxiv.org/abs/1806.03822
oig-unified_squad_v2,OIG,oig-squad_v2,['English'],['crowdsourced (daemo)'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://laion.ai/blog/oig-dataset/'}, {'License': 'CC BY-SA 4.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/4.0/legalcode'}]",,https://rajpurkar.github.io/SQuAD-explorer/,,https://arxiv.org/abs/1806.03822
fc-p3-adversarial_qa,Flan Collection (P3),adversarial_qa,['English'],"['wikipedia.org', 'crowdsourced']",[],['SQuADv1'],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/3.0/'}]",,https://paperswithcode.com/dataset/adversarialqa,,https://arxiv.org/abs/2002.00293
fc-p3-cos_e,Flan Collection (P3),cos_e,['English'],['conceptnet'],[],['CommonSenseQA'],commercial,commercial,"[{'License': 'BSD 3-Clause License', 'License URL': 'https://github.com/salesforce/cos-e/blob/master/LICENSE'}]",BSD 3-Clause License,https://github.com/salesforce/cos-e,https://github.com/salesforce/cos-e,https://arxiv.org/abs/1906.02361
fc-p3-dbpedia_14,Flan Collection (P3),dbpedia_14,['English'],['dbpedia'],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License'}]",,https://huggingface.co/datasets/dbpedia_14,,
fc-p3-hotpotqa,Flan Collection (P3),hotpotqa,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'CC BY-SA 4.0', 'License URL': 'http://creativecommons.org/licenses/by-sa/4.0/legalcode'}]",Apache License 2.0,https://github.com/hotpotqa/hotpot,https://github.com/hotpotqa/hotpot,https://arxiv.org/abs/1809.09600
fc-p3-quarel,Flan Collection (P3),quarel,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0'}]",,https://allenai.org/data/quarel,,
fc-p3-quartz,Flan Collection (P3),quartz,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0'}]",,https://allenai.org/data/quartz,,https://arxiv.org/abs/1909.03553
fc-p3-quoref,Flan Collection (P3),quoref,['English'],"['wikipedia.org', 'crowdsourced']",[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0/'}]",,https://paperswithcode.com/dataset/quoref,,https://arxiv.org/abs/1908.05803
fc-p3-web_questions,Flan Collection (P3),web_questions,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'http://creativecommons.org/licenses/by/4.0/'}]",,https://nlp.stanford.edu/software/sempre/,,https://aclanthology.org/D13-1160/
fc-p3-wiki_bio,Flan Collection (P3),wiki_bio,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://github.com/rlebret/wikipedia-biography-dataset/blob/master/LICENSE.txt'}]",,https://paperswithcode.com/dataset/wikibio,,https://arxiv.org/abs/1603.07771
fc-p3-wiki_hop,Flan Collection (P3),wiki_hop,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'http://qangaroo.cs.ucl.ac.uk/'}]",,https://paperswithcode.com/dataset/wikihop,,https://arxiv.org/abs/1603.07771
fc-sni-adversarial_qa,Flan Collection (Super-NaturalInstructions),fc-sni-adversarial_qa,['English'],"['wikipedia.org', 'crowdsourced']",[],['SQuADv1'],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/3.0/'}]",,https://paperswithcode.com/dataset/adversarialqa,,https://arxiv.org/abs/2002.00293
fc-sni-adverserial_qa,Flan Collection (Super-NaturalInstructions),fc-sni-adverserial_qa,['English'],"['wikipedia.org', 'crowdsourced']",[],['SQuADv1'],commercial,,"[{'License': 'MIT License', 'License URL': 'Unspecified'}]",,https://huggingface.co/datasets/adversarial_qa,,https://arxiv.org/abs/2002.00293
fc-sni-air_dialogue,Flan Collection (Super-NaturalInstructions),fc-sni-air_dialogue,['English'],['crowdsourced'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://aclanthology.org/D18-1419.pdf'}]",Apache License 2.0,https://github.com/google/airdialogue,https://github.com/google/airdialogue,https://aclanthology.org/D18-1419/
